date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
0.0,Scotland,Wales,1,0,British Championship,Edinburgh,Scotland,False
0.0,Belgium,Netherlands,1,2,Friendly,Antwerp,Belgium,False
0.0,Wales,England,0,2,British Championship,Wrexham,Wales,False
0.0,Northern Ireland,Scotland,1,4,British Championship,Belfast,Republic of Ireland,False
0.0,Italy,France,3,4,Friendly,Turin,Italy,False
0.0,Scotland,England,1,1,British Championship,Glasgow,Scotland,False
0.0,Netherlands,Germany,5,5,Friendly,Zwolle,Netherlands,False
0.0,Wales,Northern Ireland,2,3,British Championship,Cardiff,Wales,False
0.0,Hungary,Germany,4,4,Friendly,Budapest,Hungary,False
0.0,Netherlands,Belgium,4,3,Friendly,Dordrecht,Netherlands,False
0.0,Austria,Hungary,1,1,Friendly,Vienna,Austria,False
0.0,Switzerland,Germany,1,2,Friendly,St. Gallen,Switzerland,False
0.0,Norway,Sweden,1,2,Friendly,Kristiania,Norway,False
0.0,Sweden,Hungary,2,2,Friendly,Gothenburg,Sweden,False
0.0,Norway,Hungary,0,6,Friendly,Kristiania,Norway,False
0.0,Sweden,Finland,7,1,Friendly,Solna,Sweden,False
0.0,Norway,Russia,2,1,Friendly,Stockholm,Sweden,True
0.0,Russia,Hungary,0,9,Friendly,Moscow,Russia,False
0.0,Russia,Hungary,0,12,Friendly,Moscow,Russia,False
0.0,Uruguay,Argentina,2,0,Copa Lipton,Montevideo,Uruguay,False
0.0,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
0.0,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
0.0,Argentina,Uruguay,3,3,Copa Newton,Avellaneda,Argentina,False
0.0,Denmark,Germany,3,1,Friendly,Copenhagen,Denmark,False
0.0,Hungary,Austria,4,0,Friendly,Budapest,Hungary,False
0.0,Sweden,Norway,4,2,Friendly,Gothenburg,Sweden,False
0.0,Germany,Netherlands,2,3,Friendly,Leipzig,Germany,False
0.0,Uruguay,Argentina,1,3,Friendly,Montevideo,Uruguay,False
0.0,Catalonia,France,1,0,Friendly,Barcelona,Spain,False
0.0,Italy,Austria,1,3,Friendly,Genoa,Italy,False
0.0,France,Italy,1,0,Friendly,Saint-Ouen,France,False
0.0,Northern Ireland,Wales,0,1,British Championship,Belfast,Republic of Ireland,False
0.0,Northern Ireland,England,2,1,British Championship,Belfast,Republic of Ireland,False
0.0,Belgium,France,3,0,Friendly,Brussels,Belgium,False
0.0,Wales,Scotland,0,0,British Championship,Wrexham,Wales,False
0.0,Belgium,Netherlands,3,3,Friendly,Antwerp,Belgium,False
0.0,Switzerland,France,1,4,Friendly,Geneva,Switzerland,False
0.0,Northern Ireland,Scotland,1,2,British Championship,Dublin,Republic of Ireland,False
0.0,England,Wales,4,3,British Championship,Bristol,England,False
0.0,England,Scotland,1,0,British Championship,London,England,False
0.0,France,Luxembourg,8,0,Friendly,Saint-Ouen,France,False
0.0,Netherlands,Belgium,2,4,Friendly,Zwolle,Netherlands,False
0.0,Austria,Hungary,1,4,Friendly,Vienna,Austria,False
0.0,Italy,Belgium,1,0,Friendly,Turin,Italy,False
0.0,Russia,Sweden,1,4,Friendly,Moscow,Russia,False
0.0,Switzerland,Belgium,1,2,Friendly,Basel,Switzerland,False
0.0,Germany,Switzerland,1,2,Friendly,Freiburg,Germany,False
0.0,Hungary,Sweden,2,0,Friendly,Budapest,Hungary,False
0.0,Denmark,Sweden,8,0,Friendly,Copenhagen,Denmark,False
0.0,Sweden,Norway,9,0,Friendly,Stockholm,Sweden,False
0.0,Argentina,Uruguay,1,1,Friendly,Avellaneda,Argentina,False
